CISC101010LEC,Principles of Computing,TR,5:00PM - 6:15PM,KRB005,"Neff,Jean Marie"
CISC101310LECWL,Principles of Computing,T,5:00PM - 9:00PM,ACDE760,"Coleman,Daniel J"
CISC101510LEC,Principles of Computing,MW,7:00PM - 9:00PM,ACG182,"Gibson,Robert W."
CISC101710LEC,Principles of Computing,TR,9:30AM - 10:45AM,UDCLOBBY,"Boyer,William Robert"
CISC103010LEC,Introduction to Computer Science with Web Applications,MWF,10:10AM - 11:00AM,GOR208,"Yarrington,Debra Mary"
CISC106010LEC,General Computer Science for Engineers,MWF,9:05AM - 9:55AM,GOR116,"Wassil,Katherine Mary"
CISC106011LEC,General Computer Science for Engineers,MWF,10:10AM - 11:00AM,GOR116,"Wassil,Katherine Mary"
CISC106012LEC,General Computer Science for Engineers,MWF,1:25PM - 2:15PM,WHL319,"Wassil,Katherine Mary"
CISC106013LEC,General Computer Science for Engineers,MWF,2:30PM - 3:20PM,WHL319,"Wassil,Katherine Mary"
CISC106014LEC,General Computer Science for Engineers,MW,5:00PM - 6:15PM,GOR205,"Kim,Janet"
CISC106015LEC,General Computer Science for Engineers                  UD Capture,TR,9:30AM - 10:45AM,KRB206,"Roosen,Andrew Robert"
CISC106016LEC,General Computer Science for Engineers                  UD Capture,TR,12:30PM - 1:45PM,KRB204,"Roosen,Andrew Robert"
CISC106017LEC,General Computer Science for Engineers,TR,11:00AM - 12:15PM,GOR103,Staff
CISC106018LEC,General Computer Science for Engineers,,Canceled,,
CISC106080LEC,General Computer Science for Engineers,MWF                                                                                                                        M,9:05AM - 9:55AM                                                                                                5:00PM - 7:00PM,ALS226EXAM NOTE,"Harvey,Terrence G"
CISC106081LEC,General Computer Science for Engineers,MWF,10:10AM - 11:00AM,ALS226,"Harvey,Terrence G"
CISC106081LEC,General Computer Science for Engineers,M,5:00PM - 7:00PM,EXAM NOTE,Staff
CISC106082LEC,General Computer Science for Engineers,MWF,11:15AM - 12:05PM,ALS131,"Harvey,Terrence G"
CISC106082LEC,General Computer Science for Engineers,M,5:00PM - 7:00PM,EXAM NOTE,"Harvey,Terrence G"
CISC108010LEC,Introduction to Computer Science I,MWF                                                                                                                        T,10:10AM - 11:00AM                                                                                                5:00PM - 7:00PM,BRL116EXAM NOTE,"Bart,Austin Cory                                                                     Bart,Austin Cory"
CISC108011LEC,Introduction to Computer Science I,MWF,11:15AM - 12:05PM,BRL116,"Bart,Austin Cory"
CISC108011LEC,Introduction to Computer Science I,MWF                                                                                                                        T,11:15AM - 12:05PM                                                                                                5:00PM - 7:00PM,BRL116EXAM NOTE,"Bart,Austin Cory                                                                     Bart,Austin Cory"
CISC108012LEC,Introduction to Computer Science I,MWF                                                                                                                        T,1:25PM - 2:15PM                                                                                                5:00PM - 7:00PM,GOR208EXAM NOTE,"Bart,Austin Cory                                                                     Bart,Austin Cory"
CISC108080LEC,Introduction to Computer Science I,MW,8:40AM - 9:55AM,MEM125,"Clause,James Alexander"
CISC181010LEC,Introduction to Computer Science II,TR                                                                                                                        R,5:30PM - 6:45PM                                                                                                5:00PM - 7:00PM,GOR102EXAM NOTE,"Gibbons,Bert R                                                                     Gibbons,Bert R"
CISC181011LEC,Introduction to Computer Science II,TR                                                                                                                        R,7:00PM - 8:15PM                                                                                                5:00PM - 7:00PM,GOR102EXAM NOTE,"Gibbons,Bert R"
CISC210010LEC,Introduction to Systems Programming,TR,3:30PM - 4:45PM,GOR208,"Silber,Herbert Gregory"
CISC220010LEC,Data Structures,TR,9:30AM - 10:45AM,KRB205,"Yarrington,Debra Mary"
CISC220011LEC,Data Structures,TR,2:00PM - 3:15PM,KRB005,"Yarrington,Debra Mary"
CISC220012LEC,Data Structures,TR,3:30PM - 4:45PM,KRB005,"Yarrington,Debra Mary"
CISC220080LEC,Data Structures,TR,11:00AM - 12:15PM,MDH220,"Silber,Herbert Gregory"
